REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 2,2016,18,2.24685,1.75946,563,441,,644,168,111,1927,136,109522
HHS Regions,Region 3,2016,18,1.75889,2.02996,450,720,,1065,288,156,2679,255,131973
HHS Regions,Region 4,2016,18,1.74175,1.70365,501,387,,834,151,87,1960,267,115047
HHS Regions,Region 5,2016,18,1.11929,1.25943,288,207,,406,106,62,1069,227,84880
HHS Regions,Region 6,2016,18,2.78891,2.11564,472,354,,646,129,110,1711,201,80874
HHS Regions,Region 7,2016,18,0.906747,0.949937,38,39,,68,15,14,174,64,18317
HHS Regions,Region 8,2016,18,0.972121,1.21293,99,133,,180,32,21,465,102,38337
HHS Regions,Region 9,2016,18,1.95561,1.74618,199,219,,466,98,127,1109,161,63510
HHS Regions,Region 10,2016,18,0.963528,1.1064,32,9,,40,5,8,94,46,8496
HHS Regions,Region 1,2016,19,0.962648,0.817654,84,40,,119,25,11,279,107,34122
HHS Regions,Region 2,2016,19,1.7078,1.71904,570,367,,657,138,100,1832,127,106571
HHS Regions,Region 3,2016,19,1.60482,1.79752,489,644,,862,204,126,2325,241,129345
HHS Regions,Region 4,2016,19,1.47296,1.54947,459,323,,723,116,73,1694,245,109328
HHS Regions,Region 5,2016,19,1.14135,1.33351,330,167,,356,95,70,1018,211,76340
HHS Regions,Region 6,2016,19,2.38109,1.92694,487,307,,517,100,116,1527,193,79245
HHS Regions,Region 7,2016,19,0.709482,0.791525,26,38,,52,11,6,133,59,16803
HHS Regions,Region 8,2016,19,0.826374,1.02079,83,119,,151,37,14,404,102,39577
HHS Regions,Region 9,2016,19,1.70008,1.55348,189,196,,336,92,123,936,148,60252
HHS Regions,Region 10,2016,19,0.559961,0.624566,22,5,,24,5,7,63,49,10087
HHS Regions,Region 1,2016,20,0.893463,0.728758,87,27,,86,23,9,232,95,31835
HHS Regions,Region 2,2016,20,1.61922,1.58559,529,314,,581,131,96,1651,111,104125
HHS Regions,Region 3,2016,20,1.58771,1.71614,412,574,,756,191,116,2049,226,119396
HHS Regions,Region 4,2016,20,1.30639,1.87171,472,227,,563,95,60,1417,181,75706
HHS Regions,Region 5,2016,20,0.876222,1.13293,217,128,,259,81,62,747,185,65935
HHS Regions,Region 6,2016,20,2.46256,1.98833,443,299,,506,127,114,1489,185,74887
HHS Regions,Region 7,2016,20,0.637083,0.682635,10,16,,20,8,3,57,44,8350
HHS Regions,Region 8,2016,20,0.78257,1.02189,91,61,,134,20,10,316,88,30923
HHS Regions,Region 9,2016,20,1.08361,1.42793,99,99,,159,48,73,478,116,33475
HHS Regions,Region 10,2016,20,0.547817,0.817603,10,4,,49,1,4,68,40,8317
